title,year,venue_or_source,link,paper_type,insight_score,completeness_score,numeric_evidence_score,overall_label,relevance_note,quality_note
Learning to Reweight Examples for Robust Deep Learning,2018,ICML,https://proceedings.mlr.press/v80/ren18a.html,pure method,5,4,4,A,Clean validation gradients set example weights; direct ancestor of task-utility weighting.,provisional abstract-level screening
Meta-Weight-Net,2019,NeurIPS,https://papers.nips.cc/paper/2019/hash/e58cc5ca94270acaceed13bc82dfedf7-Abstract.html,pure method,4,4,4,A,Learns a weighting map from sample loss with unbiased meta-data; learnable-gate baseline.,provisional abstract-level screening
Adaptive Auxiliary Task Weighting for Reinforcement Learning,2019,NeurIPS,https://papers.nips.cc/paper_files/paper/2019/hash/0e900ad84f63618452210ab8baae0218-Abstract.html,pure method,4,4,3,A,Defines auxiliary usefulness through main-task loss reduction; task-level precursor.,provisional abstract-level screening
Auxiliary Task Reweighting for Minimum-data Learning,2020,NeurIPS,https://papers.nips.cc/paper/2020/hash/4f87658ef0de194413056248a00ce009-Abstract.html,pure method,4,4,4,A,"Learns relative auxiliary-task weights; compare scope with per-sample, per-modality allocation.",provisional abstract-level screening
Gradient Surgery for Multi-Task Learning,2020,NeurIPS,https://papers.nips.cc/paper/2020/hash/3fe78a8acf5fda99de95303940a2420c-Abstract.html,pure method,5,4,4,A,Removes conflicting gradient components; diagnostic and gradient-control baseline.,provisional abstract-level screening
Scaling Multimodal Pre-Training via Cross-Modality Gradient Harmonization,2022,NeurIPS,https://proceedings.neurips.cc/paper_files/paper/2022/hash/eacad5b8e67850f2b8dd33d87691d097-Abstract-Conference.html,pure method,5,4,4,A,Detects within-triplet contrastive gradient conflict and uses gradient curriculum; closest multimodal gradient precedent.,provisional abstract-level screening
Balanced Multimodal Learning via On-the-Fly Gradient Modulation,2022,CVPR,https://openaccess.thecvf.com/content/CVPR2022/html/Peng_Balanced_Multimodal_Learning_via_On-the-Fly_Gradient_Modulation_CVPR_2022_paper.html,pure method,4,4,4,A,Adjusts modality optimization imbalance; global modality-level comparator.,provisional abstract-level screening
Enhancing Multimodal Cooperation via Sample-level Modality Valuation,2024,CVPR,https://openaccess.thecvf.com/content/CVPR2024/papers/Wei_Enhancing_Multimodal_Cooperation_via_Sample-level_Modality_Valuation_CVPR_2024_paper.pdf,pure method,5,4,4,A,Estimates sample-level modality contribution; very close terminology and evaluation risk.,provisional abstract-level screening
Classifier-guided Gradient Modulation for Enhanced Multimodal Learning,2024,NeurIPS,https://proceedings.neurips.cc/paper_files/paper/2024/hash/f0c68d99827dc09ed28aa073455efcbe-Abstract-Conference.html,pure method,4,4,4,A,Uses gradient magnitude and direction to address modality dominance; includes CMU-MOSI regression.,provisional abstract-level screening
Provable Dynamic Fusion for Low-Quality Multimodal Data,2023,ICML,https://proceedings.mlr.press/v202/zhang23ar.html,pure method,5,4,4,A,"QMF estimates uncertainty for inference-time dynamic fusion; different action, strong quality-aware baseline.",provisional abstract-level screening
Predictive Dynamic Fusion,2024,ICML,https://proceedings.mlr.press/v235/cao24c.html,pure method,4,4,4,B,Calibrated multimodal confidence for dynamic fusion; avoid copying inference-time claims.,provisional abstract-level screening
Enhance-then-Balance Modality Collaboration for Robust Multimodal Sentiment Analysis,2026,CVPR,https://openaccess.thecvf.com/content/CVPR2026/papers/He_Enhance-then-Balance_Modality_Collaboration_for_Robust_Multimodal_Sentiment_Analysis_CVPR_2026_paper.pdf,pure method,4,4,4,A,Instance-aware trust distillation plus gradient balancing; unusually close MSA prior art.,provisional abstract-level screening
Multimodal Learning on Low-Quality Data with Conformal Predictive Self-Calibration,2026,CVPR,https://openaccess.thecvf.com/content/CVPR2026/html/Jiang_Multimodal_Learning_on_Low-Quality_Data_with_Conformal_Predictive_Self-Calibration_CVPR_2026_paper.html,pure method,4,4,4,A,Instance reliability also calibrates gradient flow; strongest risk for a generic gradient-gate claim.,provisional abstract-level screening
QA-MoE,2026,ACL,https://aclanthology.org/2026.acl-long.1461/,pure method,4,4,4,A,Continuous reliability controls expert routing under degraded/missing MSA modalities; different action from auxiliary allocation.,provisional abstract-level screening
MSD: Saliency-aware Knowledge Distillation for Multimodal Understanding,2021,Findings EMNLP,https://aclanthology.org/2021.findings-emnlp.302/,pure method,4,4,4,A,Weights modality-specific distillation via saliency; directly relevant to auxiliary target selection.,provisional abstract-level screening
Knowledge-Guided Dynamic Modality Attention Fusion,2024,Findings EMNLP,https://aclanthology.org/2024.findings-emnlp.865/,pure method,3,4,4,B,KuDA adjusts dominant modality at inference; task-grounded fusion comparator.,provisional abstract-level screening
MissModal,2023,TACL,https://aclanthology.org/2023.tacl-1.94/,pure method,4,4,4,B,Missing-modality representation alignment; baseline only if missing-modality robustness is claimed.,provisional abstract-level screening
Supervised Attention Mechanism for Low-quality Multimodal Data,2025,EMNLP,https://aclanthology.org/2025.emnlp-main.1084/,pure method,4,4,4,A,Ranking supervision for attention weights under noisy/missing modalities; warns that ordinal ranks need a validated action.,provisional abstract-level screening
Analyzing Modality Robustness in Multimodal Sentiment Analysis,2022,NAACL,https://aclanthology.org/2022.naacl-main.50/,other: empirical analysis,4,4,4,B,Reference protocol for perturbation and text dominance claims.,provisional abstract-level screening
Dataset Cartography,2020,EMNLP,https://aclanthology.org/2020.emnlp-main.746/,pure method,5,4,4,B,"Training dynamics separate easy, ambiguous, and hard examples; alternatives to raw confidence.",provisional abstract-level screening
Estimating Training Data Influence by Tracing Gradient Descent,2020,NeurIPS,https://papers.nips.cc/paper/2020/hash/e6385d39ec9394f2f3a354d9d2b88eec-Abstract.html,pure method,5,4,4,B,TracIn offers a checkpoint/gradient-based validation of sample influence; expensive audit comparator.,provisional abstract-level screening
Multimodal Multi-loss Fusion Network for Sentiment Analysis,2024,NAACL,https://aclanthology.org/2024.naacl-long.197/,pure method,3,4,4,B,Relevant MSA multi-loss and encoder baseline; task-level comparison requires matching preprocessing.,provisional abstract-level screening
