title,year,venue_or_source,link,paper_type,insight_score,completeness_score,numeric_evidence_score,overall_label,relevance_note,quality_note
"Multimodal Sentiment Intensity Analysis in Videos: Facial Gestures and Verbal Messages",2016,"IEEE Intelligent Systems","https://doi.org/10.1109/MIS.2016.94","method + benchmark",4,3,3,A,"CMU-MOSI task/data anchor","Verified DOI metadata"
"Tensor Fusion Network for Multimodal Sentiment Analysis",2017,EMNLP,"https://aclanthology.org/D17-1115/","pure method",4,4,4,A,"Explicit high-order interaction baseline","Verified ACL/Crossref metadata"
"Memory Fusion Network for Multi-view Sequential Learning",2018,AAAI,"https://doi.org/10.1609/aaai.v32i1.12021","pure method",4,4,4,A,"Temporal multi-view fusion anchor","Verified DOI and DBLP pages"
"Efficient Low-rank Multimodal Fusion with Modality-Specific Factors",2018,ACL,"https://aclanthology.org/P18-1209/","pure method",4,4,4,A,"Efficient tensor-fusion baseline","Verified ACL/Crossref metadata"
"Multimodal Language Analysis in the Wild: CMU-MOSEI Dataset and Interpretable Dynamic Fusion Graph",2018,ACL,"https://aclanthology.org/P18-1208/","method + benchmark",5,5,"N/A benchmark",A,"CMU-MOSEI source and scale anchor","Verified ACL/Crossref metadata"
"Multimodal Transformer for Unaligned Multimodal Language Sequences",2019,ACL,"https://aclanthology.org/P19-1656/","pure method",5,5,5,A,"Cross-modal attention and unaligned fusion","Verified ACL/Crossref metadata"
"MISA: Modality-Invariant and -Specific Representations for Multimodal Sentiment Analysis",2020,"ACM MM","https://doi.org/10.1145/3394171.3413678","pure method",4,4,4,A,"Shared/specific representation baseline","Verified ACM/Crossref metadata"
"Integrating Multimodal Information in Large Pretrained Transformers",2020,ACL,"https://aclanthology.org/2020.acl-main.214/","pure method",4,4,4,B,"Pretrained-language-model fusion line","Verified ACL/Crossref metadata"
"Learning Modality-Specific Representations with Self-Supervised Multi-Task Learning for Multimodal Sentiment Analysis",2021,AAAI,"https://doi.org/10.1609/aaai.v35i12.17289","pure method",4,4,4,A,"Modality-specific auxiliary supervision","Verified DOI metadata"
"Improving Multimodal Fusion with Hierarchical Mutual Information Maximization for Multimodal Sentiment Analysis",2021,EMNLP,"https://aclanthology.org/2021.emnlp-main.723/","pure method",4,4,4,A,"Mutual-information auxiliary objective","Verified ACL/Crossref metadata"
"Transformer-Based Feature Reconstruction Network for Robust Multimodal Sentiment Analysis",2021,"ACM MM","https://doi.org/10.1145/3474085.3475585","pure method",4,4,4,Risk,"Close robustness baseline","Verified ACM/Crossref metadata"
"UniMSE: Towards Unified Multimodal Sentiment Analysis and Emotion Recognition",2022,EMNLP,"https://aclanthology.org/2022.emnlp-main.534/","pure method",4,4,4,B,"Unified sentiment/emotion context","Verified ACL/Crossref metadata"
"CubeMLP: An MLP-based Model for Multimodal Sentiment Analysis and Depression Estimation",2022,"ACM MM","https://doi.org/10.1145/3503161.3548025","pure method",3,4,4,B,"Alternative lightweight interaction architecture","Verified ACM/Crossref metadata"
"Learning Language-Guided Adaptive Hyper-Modality Representation for Multimodal Sentiment Analysis",2023,EMNLP,"https://aclanthology.org/2023.emnlp-main.49/","pure method",4,4,4,A,"Adaptive language-guided fusion line","Verified ACL/Crossref metadata"
"TETFN: A Text Enhanced Transformer Fusion Network for Multimodal Sentiment Analysis",2023,"Pattern Recognition","https://doi.org/10.1016/j.patcog.2022.109259","pure method",3,4,4,B,"Text-enhanced transformer comparison","Verified Crossref metadata"
"Multimodal Multi-Loss Fusion Network for Sentiment Analysis",2024,NAACL,"https://aclanthology.org/2024.naacl-long.197/","pure method",4,4,4,A,"Multi-loss optimization context","Verified ACL/Crossref metadata"
